,index,endTime,artistName,trackName,msPlayed,counts,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0,2020-06-30 10:13,Don Diablo,Bad,3349,20,1T4U8Q2DRfs6OUg8DEsRZf,0.791,0.738,0.0,-5.197,1.0,0.0732,0.406,0.00826,0.159,0.666,123.927,audio_features,1T4U8Q2DRfs6OUg8DEsRZf,spotify:track:1T4U8Q2DRfs6OUg8DEsRZf,https://api.spotify.com/v1/tracks/1T4U8Q2DRfs6OUg8DEsRZf,https://api.spotify.com/v1/audio-analysis/1T4U8Q2DRfs6OUg8DEsRZf,169911.0,4.0
1,5,2020-06-30 10:41,Vicetone,Astronomia,194816,23,3hWfKBt3n7j1xqIy6LA5ve,0.653,0.945,5.0,-2.634,1.0,0.096,0.00561,0.915,0.439,0.326,126.093,audio_features,3hWfKBt3n7j1xqIy6LA5ve,spotify:track:3hWfKBt3n7j1xqIy6LA5ve,https://api.spotify.com/v1/tracks/3hWfKBt3n7j1xqIy6LA5ve,https://api.spotify.com/v1/audio-analysis/3hWfKBt3n7j1xqIy6LA5ve,198095.0,4.0
2,6,2020-06-30 14:56,Xxanaxx,Nie znajdziesz mnie (feat. TEN TYP MES),231765,9,3MpP7wlzhZRFNL3OelqBdK,0.656,0.66,10.0,-10.104,0.0,0.19,0.0444,0.0283,0.108,0.551,127.047,audio_features,3MpP7wlzhZRFNL3OelqBdK,spotify:track:3MpP7wlzhZRFNL3OelqBdK,https://api.spotify.com/v1/tracks/3MpP7wlzhZRFNL3OelqBdK,https://api.spotify.com/v1/audio-analysis/3MpP7wlzhZRFNL3OelqBdK,234336.0,4.0
3,11,2020-07-01 17:48,MEDUZA,Lose Control,144362,50,7CHi4DtfK4heMlQaudCuHK,0.598,0.526,10.0,-8.659,0.0,0.0415,0.129,0.0,0.14,0.529,123.935,audio_features,7CHi4DtfK4heMlQaudCuHK,spotify:track:7CHi4DtfK4heMlQaudCuHK,https://api.spotify.com/v1/tracks/7CHi4DtfK4heMlQaudCuHK,https://api.spotify.com/v1/audio-analysis/7CHi4DtfK4heMlQaudCuHK,168387.0,4.0
4,13,2020-07-01 17:50,Ed Sheeran,Beautiful People (feat. Khalid),10112,9,4evmHXcjt3bTUHD1cvny97,0.64,0.648,5.0,-8.113,0.0,0.187,0.124,0.0,0.0802,0.548,92.977,audio_features,4evmHXcjt3bTUHD1cvny97,spotify:track:4evmHXcjt3bTUHD1cvny97,https://api.spotify.com/v1/tracks/4evmHXcjt3bTUHD1cvny97,https://api.spotify.com/v1/audio-analysis/4evmHXcjt3bTUHD1cvny97,197867.0,4.0
5,14,2020-07-01 17:52,Lil Dicky,$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),135552,62,1TkWsnheqK0gBtvh07BtNX,0.858,0.697,2.0,-5.361,1.0,0.23,0.114,0.0,0.224,0.364,98.013,audio_features,1TkWsnheqK0gBtvh07BtNX,spotify:track:1TkWsnheqK0gBtvh07BtNX,https://api.spotify.com/v1/tracks/1TkWsnheqK0gBtvh07BtNX,https://api.spotify.com/v1/audio-analysis/1TkWsnheqK0gBtvh07BtNX,290836.0,4.0
6,16,2020-07-01 17:57,Lil Nas X,Old Town Road - Remix,157066,8,2YpeDb67231RjR0MgVLzsG,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,2YpeDb67231RjR0MgVLzsG,spotify:track:2YpeDb67231RjR0MgVLzsG,https://api.spotify.com/v1/tracks/2YpeDb67231RjR0MgVLzsG,https://api.spotify.com/v1/audio-analysis/2YpeDb67231RjR0MgVLzsG,157067.0,4.0
7,19,2020-07-01 18:00,The Chainsmokers,Call You Mine,896,17,2oejEp50ZzPuQTQ6v54Evp,0.585,0.696,4.0,-5.6,0.0,0.0307,0.204,0.0,0.344,0.522,104.01,audio_features,2oejEp50ZzPuQTQ6v54Evp,spotify:track:2oejEp50ZzPuQTQ6v54Evp,https://api.spotify.com/v1/tracks/2oejEp50ZzPuQTQ6v54Evp,https://api.spotify.com/v1/audio-analysis/2oejEp50ZzPuQTQ6v54Evp,217640.0,4.0
8,20,2020-07-01 18:00,Avicii,Without You (feat. Sandro Cavazza),65706,6,6Pgkp4qUoTmJIPn7ReaGxL,0.662,0.858,2.0,-4.844,1.0,0.0428,0.00163,0.0,0.0456,0.295,133.993,audio_features,6Pgkp4qUoTmJIPn7ReaGxL,spotify:track:6Pgkp4qUoTmJIPn7ReaGxL,https://api.spotify.com/v1/tracks/6Pgkp4qUoTmJIPn7ReaGxL,https://api.spotify.com/v1/audio-analysis/6Pgkp4qUoTmJIPn7ReaGxL,181673.0,4.0
9,21,2020-07-01 18:19,French Montana,Unforgettable,171935,8,3B54sVLJ402zGa6Xm4YGNe,0.726,0.769,6.0,-5.043,1.0,0.123,0.0293,0.0101,0.104,0.733,97.985,audio_features,3B54sVLJ402zGa6Xm4YGNe,spotify:track:3B54sVLJ402zGa6Xm4YGNe,https://api.spotify.com/v1/tracks/3B54sVLJ402zGa6Xm4YGNe,https://api.spotify.com/v1/audio-analysis/3B54sVLJ402zGa6Xm4YGNe,233902.0,4.0
10,24,2020-07-01 18:26,CALVO,Let Me Love You - DAZZ Remix,0,6,1h6Pww9RsC6gLMQA7zZop7,0.619,0.878,5.0,-5.478,1.0,0.0534,0.022,0.0,0.0628,0.389,123.987,audio_features,1h6Pww9RsC6gLMQA7zZop7,spotify:track:1h6Pww9RsC6gLMQA7zZop7,https://api.spotify.com/v1/tracks/1h6Pww9RsC6gLMQA7zZop7,https://api.spotify.com/v1/audio-analysis/1h6Pww9RsC6gLMQA7zZop7,160645.0,4.0
11,32,2020-07-01 18:30,R3HAB,Lullaby,3715,15,0DhkTGjEaIHaSxTfC14BFm,0.626,0.8,1.0,-3.988,0.0,0.035,0.0267,0.000138,0.0623,0.258,127.966,audio_features,0DhkTGjEaIHaSxTfC14BFm,spotify:track:0DhkTGjEaIHaSxTfC14BFm,https://api.spotify.com/v1/tracks/0DhkTGjEaIHaSxTfC14BFm,https://api.spotify.com/v1/audio-analysis/0DhkTGjEaIHaSxTfC14BFm,160184.0,4.0
12,37,2020-07-01 18:34,Clean Bandit,Symphony (feat. Zara Larsson),859,6,1x5sYLZiu9r5E43kMlt9f8,0.707,0.629,0.0,-4.581,0.0,0.0563,0.259,1.6e-05,0.138,0.457,122.863,audio_features,1x5sYLZiu9r5E43kMlt9f8,spotify:track:1x5sYLZiu9r5E43kMlt9f8,https://api.spotify.com/v1/tracks/1x5sYLZiu9r5E43kMlt9f8,https://api.spotify.com/v1/audio-analysis/1x5sYLZiu9r5E43kMlt9f8,212459.0,4.0
13,41,2020-07-01 18:37,Lady Gaga,Rain On Me (with Ariana Grande),182200,95,24ySl2hOPGCDcxBxFIqWBu,0.672,0.855,9.0,-3.764,1.0,0.0397,0.021,0.0,0.323,0.646,123.056,audio_features,24ySl2hOPGCDcxBxFIqWBu,spotify:track:24ySl2hOPGCDcxBxFIqWBu,https://api.spotify.com/v1/tracks/24ySl2hOPGCDcxBxFIqWBu,https://api.spotify.com/v1/audio-analysis/24ySl2hOPGCDcxBxFIqWBu,182200.0,4.0
